timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730965994963,793,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-52,,true,,5664,544,13,20,null,0,2,595
1730965993841,1914,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,,true,,5664,544,6,20,null,0,3,1712
1730965994175,1580,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-29,,true,,5664,544,6,20,null,0,3,1378
1730965994795,961,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,,true,,5664,544,13,20,null,0,2,759
1730965993843,1914,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,text,true,,5664,544,6,20,https://petstore.octoperf.com/actions/Catalog.action,1914,0,1712
1730965994964,793,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-52,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,793,0,595
1730965994509,1235,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-28,,true,,5664,544,6,20,null,0,6,1032
1730965994796,961,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-53,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,961,0,759
1730965994177,1580,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-29,text,true,,5664,544,6,20,https://petstore.octoperf.com/actions/Catalog.action,1580,0,1378
1730965994510,1235,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-28,text,true,,5664,544,6,20,https://petstore.octoperf.com/actions/Catalog.action,1233,0,1032
1730965994462,1282,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,5664,544,13,20,null,0,6,1079
1730965993636,2050,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,5664,544,13,20,null,0,72,1848
1730965993962,1782,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,5664,544,13,20,null,0,6,1579
1730965994463,1282,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,1280,0,1079
1730965993963,1782,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,1780,0,1579
1730965994295,1462,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,5664,544,13,20,null,0,1,1260
1730965994842,902,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-27,,true,,5664,544,6,20,null,0,6,700
1730965994295,1462,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,1462,0,1260
1730965993795,1958,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,5664,544,13,20,null,0,5,1760
1730965994843,902,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-27,text,true,,5664,544,6,20,https://petstore.octoperf.com/actions/Catalog.action,900,0,700
1730965994128,1636,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,5664,544,13,20,null,0,1,1430
1730965994628,1116,Open URL - 1,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,,true,,5664,544,13,20,null,0,6,915
1730965993799,1958,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,1958,0,1760
1730965994129,1636,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,1635,0,1430
1730965994629,1116,Open URL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-54,text,true,,5664,544,13,20,https://petstore.octoperf.com/actions/Catalog.action,1114,0,915
